1,40.916,0.55377,10.476,1.0843,0.85084,0.59909,0.1001
2,48.225,0.68339,12.179,3.3804,0.86694,0.84588,0.10771
3,25.138,0.27412,5.3165,4.8952,0.90526,0.88599,0.083667
4,3.783,0.58622,10.548,5.1175,0.85714,0.85716,0.061428
5,5.0456,0.53188,13.242,6.3546,0.8749,0.875,0.062743
6,12.476,0.36923,12.321,7.9883,0.8839,0.88405,0.070481
7,10.428,0.45664,12.687,10.859,0.8941,0.89412,0.068348
8,23.201,0.53426,9.023,8.4334,0.92795,0.92802,0.08165
9,14.783,0.77694,10.122,10.009,0.94472,0.94512,0.072884
10,-3.7086,0.36501,13.643,12.912,0.87736,0.87741,0.053626
11,-36.01,0.57254,12.065,13.537,0.87052,0.8706,0.019988
12,14.79,0.49369,13.1,15.534,0.91239,0.91246,0.072891
13,23.628,0.57147,17.163,14.089,0.85538,0.85542,0.082095
14,-0.19186,0.4795,17.057,14.944,0.88806,0.88855,0.057289
15,16.162,0.48759,17.709,16.42,0.92458,0.92459,0.07432
16,27.453,0.64897,17.936,18.878,0.89112,0.89133,0.086078
17,24.124,0.6409,21.666,18.671,0.91068,0.91087,0.082611
18,34.153,0.64172,19.926,21.515,0.85154,0.8516,0.093056
19,35.335,0.56715,20.01,20.448,0.89885,0.8991,0.094287
20,38.17,0.37925,23.954,21.551,0.93471,0.93506,0.097239
21,39.056,0.57172,26.317,23.364,0.88304,0.88321,0.098162
22,28.636,0.66302,26.365,24.734,0.86504,0.86513,0.08731
23,28.401,0.54889,25.373,23.188,0.85212,0.85216,0.087065
24,29.593,0.60347,25.176,25.817,0.87162,0.87177,0.088307
1,22.35,0.57269,3.1241,2.3945,0.85004,0.8094,0.080764
2,17.101,0.46966,6.5333,2.9776,0.90946,0.90306,0.075298
3,17.963,0.52939,10.092,4.6243,0.92088,0.91859,0.076195
4,12.134,0.42127,9.4949,5.9066,0.94412,0.94459,0.070125
5,22.768,0.58884,10.008,7.0603,0.85457,0.85554,0.081199
6,23.76,0.38529,8.9441,6.9667,0.906,0.90605,0.082232
7,30.105,0.39311,10.899,9.1623,0.87759,0.87763,0.08884
8,20.84,0.41905,10.778,9.3223,0.8689,0.86895,0.079191
9,26.558,0.20557,10.548,9.0362,0.88765,0.88838,0.085146
10,36.489,0.64384,12.63,13.45,0.91119,0.91123,0.095488
11,46.866,0.53252,24.417,12.26,0.92571,0.92597,0.10629
12,40.999,0.42451,13.522,14.358,0.86701,0.8671,0.10019
13,34.79,0.63703,16.326,14.506,0.88017,0.88034,0.093719
14,33.286,0.32885,16.322,14.317,0.85721,0.85794,0.092153
15,40.399,0.48978,22.774,18.511,0.87228,0.8723,0.09956
16,39.434,0.47586,18.295,16.643,0.86536,0.86543,0.098555
17,112.97,0.53192,20.287,20.19,0.93522,0.93567,0.17514
18,46.766,0.53129,22.351,19.64,0.89868,0.89949,0.10619
19,40.329,0.41351,23.341,21.753,0.89496,0.89504,0.099487
20,47.731,0.49699,22.429,22.559,0.92715,0.92725,0.1072
21,45.751,0.48351,22.393,21.888,0.87274,0.87288,0.10513
22,40.73,0.56277,23.402,22.426,0.90501,0.90504,0.099905
23,31.573,0.60933,24.507,25.139,0.89107,0.89111,0.090369
24,30.835,0.61093,26.299,25.423,0.88511,0.88527,0.0896
1,29.911,0.41363,12.626,2.0538,0.88961,0.71097,0.088638
2,28.786,0.50774,14.364,4.7719,0.94532,0.93129,0.087466
3,25.418,0.37859,9.2481,6.5976,0.90959,0.9085,0.083959
4,25.513,0.38865,7.0777,4.7459,0.94862,0.94414,0.084058
5,28.178,0.49932,7.9411,8.2992,0.92269,0.92278,0.086833
6,32.091,0.65326,11.556,9.683,0.85871,0.85876,0.090908
7,38.175,0.42303,12.136,10.191,0.92519,0.92498,0.097244
8,46.798,0.53714,22.53,8.5056,0.94478,0.94484,0.10622
9,48.94,0.47744,16.767,11.78,0.92007,0.92027,0.10845
10,46.323,0.61174,17.352,11.794,0.92712,0.92722,0.10573
11,42.15,0.39109,13.454,13.334,0.92335,0.92345,0.10138
12,35.006,0.50326,15.832,14.933,0.93463,0.93478,0.093944
13,40.779,0.55525,14.84,16.36,0.91254,0.91268,0.099956
14,45.813,0.61006,15.506,15.432,0.89906,0.89913,0.1052
15,240.8,0.65442,19.29,17.839,0.93106,0.93121,0.30826
16,46.641,0.50859,21.499,16.032,0.88419,0.88437,0.10606
17,36.916,0.35084,22.519,18.101,0.87893,0.87934,0.095933
18,46.102,0.42577,22.814,21.573,0.92816,0.92834,0.1055
19,39.794,0.39384,22.406,22.81,0.93711,0.93725,0.09893
20,44.548,0.73505,21.081,21.603,0.90619,0.90627,0.10388
21,43.431,0.43844,23.931,24.698,0.87004,0.87023,0.10272
22,33.369,0.57481,23.406,24.897,0.94678,0.94689,0.092239
23,29.658,0.48076,25.464,24.596,0.88469,0.88482,0.088375
24,26.816,0.58886,26.033,25.522,0.92904,0.92906,0.085415
1,28.03,0.42352,8.2289,1.7126,0.9149,0.83153,0.086679
2,24.626,0.35977,9.778,4.685,0.8661,0.86465,0.083134
3,24.846,0.35776,6.0266,4.8865,0.86562,0.86543,0.083363
4,27.213,0.54882,5.2554,4.1149,0.90293,0.90298,0.085828
5,25.53,0.48226,10.693,7.3298,0.89126,0.89135,0.084076
6,25.232,0.48039,8.8712,6.1873,0.92428,0.9243,0.083765
7,30.299,0.64193,14.401,9.3258,0.85515,0.8553,0.089042
8,40.547,0.52916,10.126,9.313,0.94177,0.9419,0.099714
9,30.374,0.51978,16.747,12.69,0.86967,0.86984,0.08912
10,28.681,0.65877,16.366,10.467,0.9223,0.92246,0.087357
11,28.771,0.41955,14.835,14.591,0.92242,0.92254,0.087451
12,26.451,0.56966,17.024,15.184,0.94849,0.94876,0.085035
13,28.498,0.58351,14.613,16.266,0.87752,0.87783,0.087166
14,28.087,0.47563,18.341,17.989,0.90783,0.90802,0.086738
15,23.949,0.52157,19.503,18.4,0.85455,0.85461,0.082429
16,27.054,0.38342,18.643,18.734,0.887,0.88704,0.085663
17,63.776,0.3852,18.337,17.018,0.93382,0.93396,0.12391
18,46.806,0.51049,19.719,21.679,0.92374,0.92392,0.10623
19,44.941,0.57223,21.955,20.529,0.87783,0.87794,0.10429
20,47.008,0.75855,23.6,22.805,0.89436,0.89454,0.10644
21,42.17,0.43331,23.339,22.152,0.90106,0.90134,0.1014
22,35.087,0.51873,23.428,22.877,0.868,0.86816,0.094028
23,30.794,0.49175,25.982,26.742,0.93632,0.93647,0.089558
24,23.214,0.3067,26.999,25.568,0.93828,0.93836,0.081664
1,29.262,0.4561,12.835,1.2506,0.94398,0.76883,0.087962
2,27.756,0.32053,3.1413,5.1495,0.89807,0.88058,0.086394
3,27.322,0.58404,13.071,4.021,0.86402,0.8483,0.085942
4,27.935,0.4112,13.252,5.7128,0.85946,0.85947,0.08658
5,27.799,0.51001,16.951,7.4447,0.93332,0.93325,0.086439
6,29.677,0.44555,12.229,9.929,0.8686,0.8687,0.088394
7,34.645,0.53035,8.6761,8.1445,0.91661,0.9167,0.093568
8,46.173,0.43997,11.824,10.34,0.92865,0.92893,0.10557
9,40.119,0.549,13.775,10.939,0.93005,0.93014,0.099269
10,32.581,0.57394,15.625,11.857,0.94645,0.9465,0.091419
11,30.24,0.67119,14.202,13.227,0.87697,0.87704,0.088981
12,27.51,0.48059,16.054,14.186,0.89245,0.89251,0.086138
13,22.254,0.28616,15.584,14.333,0.91574,0.91576,0.080664
14,15.314,0.41604,18.962,14.238,0.90394,0.90396,0.073437
